popit_id,politician_name,director_name,similarity,project_sum,project_count,first_project,last_project
545e44aa5222837c2c058d3f,Mohd Fauzi Mohamad,MOHD FAUZI BIN MOHAMAD,0.8521303258,5594694,3,1998-06-16,2000-06-13
545e429a5222837c2c058822,Ng Yeow Chong,ANG YEOW CHONG,0.8285714286,5560621,9,2000-05-26,2010-11-22
55c77fb601fbbece2d3832ea,Abdullah A. Rasol,ABDULLAH BIN A. RASOL,0.8444444444,5306682,2,1999-07-10,2002-03-04
545e45525222837c2c058ee4,Nuridah Binti Mohd Salleh,ZAIDAH BINTI MOHD SALLEH,0.8238461538,5264000,4,2006-08-14,2011-04-20
545e48215222837c2c0595dd,Ismail Bin Othman,ISMAIL BIN OTHMAN,1,5201870,2,2001-12-10,2009-04-15
545e43985222837c2c058a99,Liew Pok Boon,LIEW POK BOON,1,5079519,1,2011-12-01,2011-12-01
545e46615222837c2c059188,Lee Boon Kok,LEE BOON KOK,1,4911560,4,2002-10-29,2010-11-25
545e44f85222837c2c058e04,Hong Chin Poh,CHONG CHIN POH,0.8285714286,4779200,4,2002-06-23,2007-08-20
545e46595222837c2c059175,Yong Oui Fah,YONG OUI FAH,1,4705843,4,0000-00-00,1999-12-18
5585393b23e8f8914e1b22f8,Teo Eng Siong,TEO ENG SIONG,1,4546000,1,2008-02-18,2008-02-18
545e47cf5222837c2c05951e,Abdul Halim Bin Abdul Rahman,ABDUL HALIM BIN ABDUL RAHIM,0.8304843305,4388674,3,2005-04-06,2008-01-07
545e463e5222837c2c059131,Zakaria Abdul Hamid,ZAKARIA BIN ABDUL HAMID,0.8590909091,4289200,1,2009-07-23,2009-07-23
545e42ac5222837c2c058850,Abdullah Abdul Wahab, ABDUL WAHAB,0.8333333333,4256316,3,2004-11-25,2007-12-11
545e42cd5222837c2c05889f,Abdul Wahab Ibrahim,ABDUL WAHAB BIN IBRAHIM,0.9068181818,3963605,4,2002-09-19,2007-11-05
545e44cb5222837c2c058d91,Stephan Bin Gaimin,STEPHAN BIN GAIMIN,1,3945171,4,2003-04-03,2008-08-04
545e459a5222837c2c058f97,Edward Dagul,EDWARD DAGUL,1,3945171,4,2003-04-03,2008-08-04
545e480a5222837c2c0595a6,Sim Chee Keong,SIM CHEE KEONG,1,3757260,1,2011-03-22,2011-03-22
